"F1AE1401       ","UD ALE 3/0 15 KV 31 PEIN      ","UD 3/0 AL, 220 EPR,16#12,LLDPE","F09",15.000     ,1     ,"EPR",85.00    ,"3/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S08","AL ","PRS",.446     ,.983     ,1.32       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1403       ","UD ALE 4/0 15 KV 31 PEIN      ","UD 4/0AL, 220EPR,  20#12,LLDPE","F09",15.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S33","AL ","PRS",.495     ,1.091    ,1.34       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE14034      ","UD ALE 4/0 15 KV 33 PEIN      ","UD 4/0 AL, 220 EPR,11#14,LLDPE","F09",15.000     ,1     ,"EPR",107.00   ,"4/0 AWG   ","I04","SH4","T01","UAE","LDP","AWG","S12","AL ","PRS",.394     ,.869     ,1.33       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE14054      ","UD ALE 250 15 KV 33 PEIN      ","UD 250AL, 220EPR,  13#14,LLDPE","F09",15.000     ,1     ,"EPR",127.00   ,"250 MCM   ","I04","SH4","T01","UAE","LDP","AWG","S06","AL ","PRS",.446     ,.983     ,1.37       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1407       ","UD ALE 350 15 KV 31 PEIN      ","UD 350AL, 220EPR, 32#12, LLDPE","F09",15.000     ,1     ,"EPR",177.00   ,"350 MCM   ","I04","SH4","T01","UAE","LDP","AWG","S36","AL ","PRS",.762     ,1.680    ,1.59       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE14074      ","UD ALE 350 15 KV 33 PEIN      ","UD 350AL, 220EPR, 18#14, LLDPE","F09",15.000     ,1     ,"EPR",177.00   ,"350 MCM   ","I04","SH4","T01","UAE","LDP","AWG","S14","AL ","PRS",.560     ,1.235    ,1.56       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1409       ","UD ALE 500 15 KV 33 PEIN      ","UD 500AL, 220EPR  ,25#14,LLDPE","F09",15.000     ,1     ,"EPR",253.00   ,"500 MCM   ","I04","SH4","T01","UAE","LDP","AWG","S49","AL ","PRS",.711     ,1.567    ,1.71       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1409Y      ","UD ALYE 500 15 KV 33 PEIN     ","UD 500ALY,220EPR,  25#14,LLDPE","F09",15.000     ,1     ,"EPR",253.00   ,"500 MCM   ","I04","SH4","T02","UAE","LDP","AWG","S49","AL ","PRS",.717     ,1.581    ,1.73       ,"UAE","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA3"
"F1AE1411       ","UD ALE 750  15 KV 33 PEIN     ","UD 750AL, 220EPR,  24#12,LLDPE","F09",15.000     ,1     ,"EPR",380.00   ,"750 MCM   ","I04","SH4","T01","UAE","LDP","AWG","S18","AL ","PRS",.971     ,2.141    ,1.91       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
"F1AE1413       ","UD ALE 1000  15 KV 33 PEIN    ","UD 1000AL,220 EPR, 20#10,LLDPE","F09",15.000     ,1     ,"EPR",507.00   ,"1000 MCM  ","I04","SH4","T01","UAE","LDP","AWG","S39","AL ","PRS",1.244    ,2.743    ,2.14       ,"UAE","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","010","YES","NA3"
