"F1AX1303       ","UD ALX 500 25 KV 03 PEIN      ","UD 500AL, 260TRXLP,25#14,LLDPE","F09",25.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I05","SH4","T01","UAX","LDP","AWG","S49","AL ","PRS",.716     ,1.579    ,1.77       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","003","YES","NA4"
"F1AX1305       ","UD ALX 750 25 KV 03 PEIN      ","UD 750AL, 260TRXLP,24#12,LLDPE","F09",25.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I05","SH4","T01","UAX","LDP","AWG","S18","AL ","PRS",.993     ,2.189    ,2.01       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","003","YES","NA4"
"F1AX1307       ","UD ALX 1000 25 KV 03 PEIN     ","UD1000AL, 260TRXLP,20#10,LLDPE","F09",25.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I05","SH4","T01","UAX","LDP","AWG","S39","AL ","PRS",1.218    ,2.685    ,2.17       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","003","YES","NA4"
"F1AX13070RW_YX ","UD ALSX 1/0 35 KV 034Y XLPIN  ","UD 1/0ALS,345TRXLP,12#14Y,XLP ","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T02","UA3","   ","AWG","S42","AL ","SLD",.402     ,.886     ,1.46       ,"   ","   ","   ","SWL","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX1308       ","UD ALX 1/0 35 KV 01 PEIN      ","UD 1/0AL, 345TRXLP,16#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S04","AL ","PRS",.417     ,.919     ,1.44       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1308RWY    ","UD ALYX 1/0 35 KV 01 PEIN     ","UD 1/0ALY,345TRXLP,16#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S04","AL ","PRS",.418     ,.922     ,1.44       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX130823RWY  ","UD ALYX 1/0 35 KV 023 PEIN    ","UD 1/0ALY,345TRXLP,11#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S12","AL ","PRS",.395     ,.871     ,1.43       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX130823Y    ","UD ALYX 1/0 35 KV 023 PEIN    ","UD 1/0ALY,345TRXLP,11#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S12","AL ","PRS",.394     ,.869     ,36.40      ,"UA3","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX13083      ","UD ALX 1/0 35 KV 03 PEIN      ","UD 1/0AL, 345TRXLP, 6#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S05","AL ","PRS",.364     ,.802     ,1.41       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX13083RWY   ","UD ALYX 1/0 35 KV 03 PEIN     ","UD 1/0ALY,345TRXLP, 6#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S05","AL ","PRS",.364     ,.802     ,1.41       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX13083YX    ","UD ALYX 1/0 35 KV 03 XLPIN    ","UD 1/0ALY,345TRXLP,6#14,XLPIN ","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T02","UA3","XLP","AWG","S05","AL ","PRS",.368     ,.811     ,1.46       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX130834RWY  ","UD ALYX 1/0 35 KV 034 PEIN    ","UD 1/0ALY,345TRXLP,12#14,LLDPE","F09",35.000     ,1     ,"TRX",53.00    ,"1/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S42","AL ","PRS",.400     ,.882     ,1.46       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1310       ","UD ALX 2/0 35 KV 01 PEIN      ","UD 2/0AL ,345TRXLP,20#14,LLDPE","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S34","AL ","PRS",.462     ,1.019    ,1.47       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1310RWY    ","UD ALYX 2/0 35 KV 01 PEIN     ","UD 2/0ALY,345TRXLP,20#14,LLDPE","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S34","AL ","PRS",.472     ,1.041    ,1.48       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1310YX     ","UD ALYX 2/0 35 KV 01 XLPEIN   ","UD 2/0ALY,345TRXLP,20#14,XLPE ","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T02","UA3","XLP","AWG","S34","AL ","PRS",.472     ,1.041    ,1.51       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX131023RWY  ","UD ALYX 2/0 35 KV 023 PEIN    ","UD 2/0ALY,345TRXLP,14#14,LLDPE","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S13","AL ","PRS",.431     ,.950     ,1.44       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX13103      ","UD ALX 2/0 35 KV 03 PEIN      ","UD 2/0AL ,345TRXLP, 7#14,LLDPE","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S11","AL ","PRS",.393     ,.866     ,1.47       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX13103RWY   ","UD ALYX 2/0 35 KV 03 PEIN     ","UD 2/0ALY,345TRXLP, 7#14,LLDPE","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S05","AL ","PRS",.394     ,.869     ,1.47       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX13103YX    ","UD ALYX 2/0 35 KV 03 XLPEIN   ","UD 2/0ALY,345TRXLP,7#14,XLPE  ","F09",35.000     ,1     ,"TRX",67.00    ,"2/0 AWG   ","I08","SH4","T02","UA3","XLP","AWG","S11","AL ","PRS",.403     ,.888     ,1.51       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1312       ","UD ALX 3/0 35 KV 01 PEIN      ","UD 3/0AL ,345TRXLP,25#14,LLDPE","F09",35.000     ,1     ,"TRX",85.00    ,"3/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S49","AL ","PRS",.521     ,1.149    ,1.54       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1312RWR1Y  ","UD ALYX 3/0 35KV 01(18*12)PEIN","UD 3/0ALY,345TRXLP,18#12,LLDPE","F09",35.000     ,1     ,"TRX",85.00    ,"3/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S16","AL ","PRS",.560     ,1.235    ,1.56       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1312RWR2Y  ","UD ALYX 3/0 35KV  0(14*12)PEIN","UD 3/0ALY,345TRXLP,14#12,LLDPE","F09",35.000     ,1     ,"TRX",85.00    ,"3/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S97","AL ","PRS",.524     ,1.155    ,1.64       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1312RWR3Y  ","UD ALYX 3/0 35KV 01(11*14)PEIN","UD 3/0ALY,345TRXLP,11#14,LLDPE","F09",35.000     ,1     ,"TRX",85.00    ,"3/0 AWG   ","I08","   ","T03","UKR","LDP","AWG","S12","AL ","PRS",.449     ,.990     ,1.54       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX13123RWY   ","UD ALYX 3/0 35KV 03 PEIN      ","UD 3/0ALY,345TRXLP, 9#14,LLDPE","F09",35.000     ,1     ,"TRX",85.00    ,"3/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S10","AL ","PRS",.438     ,.966     ,1.56       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX1314       ","UD ALX 4/0 35 KV 01 PEIN      ","UD 4/0AL ,345TRXLP,32#14,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S48","AL ","PRS",.600     ,1.323    ,1.57       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1314RWR2YYX","UD ALYX 4/0 35 KV 012Y XLPIN  ","UD 4/0ALY,345TRXLP,15#14Y,XLP ","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T02","UA3","XLP","AWG","SC2","AL ","PRS",.528     ,1.164    ,1.65       ,"   ","   ","YRN","SWL","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1314RWY    ","UD ALYX 4/0 35 KV 01 PEIN     ","UD 4/0ALY,345TRXLP,32#14,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S48","AL ","PRS",.605     ,1.334    ,1.61       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX131412RWR1Y","UD ALYX 4/0 35 KV 012 PEIN    ","UD 4/0ALY,345TRXLP,16#14,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S04","AL ","PRS",.515     ,1.135    ,1.58       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX131412Y    ","UD ALYX 4/0 35 KV 012 PEIN    ","UD 4/0ALY,345TRXLP,10#12,LLDPE","F09",35.000     ,1     ,"TR-",107.00   ,"4/0 AWG   ","I08","SH4","T01","UA3","LDP","AWG","S46","AL ","PRS",.529     ,1.166    ,1.57       ,"UA3","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX131423RWY  ","UD ALYX 4/0 35K 023(22*14)PEIN","UD 4/0ALY,345TRXLP,22#14,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S53","AL ","PRS",.552     ,1.217    ,1.61       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX13143      ","UD ALX 4/0 35 KV 03 PEIN      ","UD 4/0AL, 345TRXLP,11#14,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UAX","LDP","AWG","S12","AL ","PRS",.489     ,1.078    ,1.57       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX13143RWY   ","UD ALYX 4/0 35 KV 03 PEIN     ","UD 4/0ALY,345TRXLP,11#14,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S12","AL ","PRS",.496     ,1.093    ,1.57       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX13143YX    ","UD ALYX 4/0 35 KV 03 XLPIN    ","UD 4/0ALY,345TRXLP,11#14,XLPIN","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T02","UA3","XLP","AWG","S12","AL ","PRS",.496     ,1.093    ,1.61       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX131434RWR1Y","UD ALYX 4/0 35 KV 034 PEIN    ","UD 4/0ALY,345TRXLP,15#12,LLDPE","F09",35.000     ,1     ,"TRX",107.00   ,"4/0 AWG   ","I08","SH4","T01","UKR","LDP","AWG","S40","AL ","PRS",.581     ,1.281    ,1.61       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1316       ","UD ALX 250 35 KV 01 PEIN      ","UD 250AL ,345TRXLP,25#12,LLDPE","F09",35.000     ,1     ,"TRX",127.00   ,"250 MCM   ","I08","SH4","T01","UAX","LDP","AWG","S50","AL ","PRS",.698     ,1.539    ,1.69       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX13163RWY   ","UD ALYX 250 35 KV 03 PEIN     ","UD 250ALY,345TRXLP,13#14,LLDPE","F09",35.000     ,1     ,"TRX",127.00   ,"250 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S06","AL ","PRS",.536     ,1.182    ,1.63       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1318       ","UD ALX 350 35 KV 01 PEIN      ","UD 350AL ,345TRXLP,32#12,LLDPE","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T01","UAX","LDP","AWG","S36","AL ","PRS",.867     ,1.911    ,1.84       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1318RWR1Y  ","UD ALYX 350 35 KV 0(14#12) PEI","UD 350ALY,345TRXLP,14#12,LLDPE","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T03","UAX","LDP","AWG","S97","AL ","PRS",.707     ,1.559    ,1.85       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX1318RWR2Y  ","UD ALYX 350 35 KV 06   PEIN   ","UD 350ALY,345TRXLP,14#16,LLDPE","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S74","AL ","PRS",.611     ,1.347    ,1.80       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX131816RWY  ","UD ALYX 350 35 KV 016 PEIN    ","UD 350ALY,345TRXLP, 9#14,LLDPE","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S10","AL ","PRS",.620     ,1.367    ,1.83       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX131816YX   ","UD ALYX 350 35 KV 06 XLPEIN   ","UD 350ALY,345TRXLP, 9#14,XLPE ","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T02","UA3","XLP","AWG","S10","AL ","PRS",.618     ,1.362    ,1.82       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX131823RWY  ","UD ALYX 350 35 KV 023 PEIN    ","UD 350ALY,345TRXLP,14#10,LLDPE","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T01","UKR","LDP","AWG","SD7","AL ","PRS",.800     ,1.764    ,1.87       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX13183RWY   ","UD ALYX 350 35 KV 03 PEIN     ","UD 350ALY,345TRXLP,18#14,LLDPE","F09",35.000     ,1     ,"TRX",177.00   ,"350 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S14","AL ","PRS",.666     ,1.468    ,1.84       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1320       ","UD ALX 500 35 KV 03 PEIN      ","UD 500AL ,345TRXLP,25#14,LLDPE","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T01","UAX","LDP","AWG","S49","AL ","PRS",.815     ,1.797    ,1.95       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1320RWR2Y  ","UD ALYX 500 35KV 0(25*14) PEIN","UD 500ALY,345TRXLP,25#14,LLDPE","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S49","AL ","PRS",.813     ,1.792    ,1.93       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1320RWR3Y  ","UD ALYX 500 35 KV 016   PEIN  ","UD 500ALY,345TRXLP,13#14,LLDPE","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T03","UKR","LDP","AWG","S06","AL ","PRS",.750     ,1.653    ,1.95       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX1320RWR4Y  ","UD ALYX 500 35 KV 016  PEIN   ","UD 500ALY,345TRXLP,20#16,LLDPE","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T03","UKR","LDP","AWG","SF1","AL ","PRS",.731     ,1.612    ,1.92       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX1320R1RWY  ","MOVED TO --- 1AX1320RWR1Y --- ","UD 500ALY,345TRXLP,16#12,LLDPE","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S08","AL ","PRS",1.821    ,4.015    ,2.01       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1320YX     ","UD ALYX 500 35 KV 03 XLPIN    ","UD 500ALY,345TRXLP,25#14,XLPIN","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T02","UA3","XLP","AWG","S49","AL ","PRS",.813     ,1.792    ,1.95       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX132082RWYYX","UD ALYX 500 35 KV 014Y XLPIN  ","UD 500ALY,345TRXLP,12#12Y,XLP ","F09",35.000     ,1     ,"TRX",253.00   ,"500 MCM   ","I08","SH4","T02","UA3","XLP","AWG","S73","AL ","PRS",.811     ,1.788    ,2.02       ,"   ","   ","YRN","SWL","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX1322       ","UD ALX 750 35 KV 03 PEIN      ","UD 750AL ,345TRXLP,24#12,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T01","UAX","LDP","AWG","S18","AL ","PRS",1.103    ,2.432    ,2.20       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1322RWR10Y ","UD ALYX 750 35KV 0(14X12) PEIN","UD 750ALY,345TRXLP,14#12,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S97","AL ","PRS",1.016    ,2.240    ,2.19       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1322RWR2Y  ","UD ALYX 750 35 KV 0112 PEIN   ","UD 750ALY,345TRXLP,10#14,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","   ","T03","UKR","LDP","AWG","S01","AL ","PRS",.931     ,2.053    ,2.17       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1322RWR5Y  ","UD ALYX 750 35 KV 0112 PEIN   ","UD 750ALY,345TRXLP,15#16,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","   ","T03","UKR","LDP","AWG","SF4","AL ","PRS",.911     ,2.008    ,2.15       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1322RWR7Y  ","UD ALYX 750 35KV 016 12X12 PEI","UD 750ALY,345TRXLP,12#12,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T03","UKR","LDP","AWG","S73","AL ","PRS",1.009    ,2.224    ,2.20       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1322RWR8Y  ","UD ALYX 750 35KV 03 38X14 PEI ","UD 750ALY,345TRXLP,38#14,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T01","UKR","LDP","AWG","SD1","AL ","PRS",1.091    ,2.405    ,.00        ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1322RWY    ","UD ALYX 750 35 KV 03 PEIN     ","UD 750ALY,345TRXLP,24#12,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T01","UKR","LDP","AWG","S18","AL ","PRS",1.105    ,2.436    ,2.20       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1322R1YX   ","UD ALYX 750 35 KV 016 XLPIN   ","UD 750ALY,345TRXLP,19#14,XLPE ","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T02","UA3","XLP","AWG","S78","AL ","PRS",.978     ,2.156    ,2.17       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA4"
"F1AX132216RWR1Y","UD ALYX 750 35KV 016 19X14 PEI","UD 750ALY,345TRXLP,19#14,LLDPE","F09",35.000     ,1     ,"TRX",380.00   ,"750 MCM   ","I08","SH4","T03","UKR","LDP","AWG","S78","AL ","PRS",.989     ,2.180    ,2.16       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1324       ","UD ALX 1000 35 KV 03 PEIN     ","UD1000AL ,345TRXLP,20#10,LLDPE","F09",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T01","UAX","LDP","AWG","S39","AL ","PRS",1.370    ,3.020    ,2.39       ,"UAX","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","005","YES","NA4"
"F1AX1324RWR2Y  ","UD ALYX 1000 35 KV 0112 PEIN  ","UD1000ALY,345TRXLP,13#14,LLDPE","   ",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T03","UKR","LDP","AWG","S06","AL ","PRS",1.104    ,2.434    ,2.31       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1324RWR5Y  ","UD ALYX 1000 35 KV 0112 PEIN  ","UD1000ALY,345TRXLP,20#16,LLDPE","   ",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T03","UKR","LDP","AWG","SF1","AL ","PRS",1.088    ,2.399    ,2.15       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1324RWR8Y  ","UD ALYX 1000 35K 03(31*12)PEIN","UD 1000ALY 345 TRX 31#12 LLDPE","F09",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T01","UKR","LDP","AWG","S96","AL ","PRS",1.329    ,2.930    ,.00        ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX1324RWY    ","UD ALYX 1000 35 KV 03 PEIN    ","UD1000ALY,345TRXLP,20#10,LLDPE","F09",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T01","UKR","LDP","AWG","S39","AL ","PRS",1.366    ,3.012    ,2.41       ,"UKR","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX132416RWR1Y","UD ALYX 1000 35 KV 016 PEIN   ","UD1000ALY,345TRXLP,25#14,LLDPE","F09",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T03","UKR","LDP","AWG","S49","AL ","PRS",1.167    ,2.573    ,2.32       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX132416RWY  ","UD ALYX 1000 35 KV 016 PEIN   ","UD1000ALY,345TRXLP,16#12,LLDPE","F09",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T03","UKR","LDP","AWG","S08","AL ","PRS",1.199    ,2.643    ,2.31       ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
"F1AX132418RWY  ","UD ALYX 1000 35 KV 018 PEIN   ","UD1000ALY,345TRXLP,19#14,LLDPE","F09",35.000     ,1     ,"TRX",507.00   ,"1000 MCM  ","I08","SH4","T03","UKR","LDP","AWG","S78","AL ","PRS",1.150    ,2.535    ,.00        ,"   ","   ","YRN","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","YES","NA2"
