"710900         ","IEC ","BZ 620/280/300/35             ",30     ,0      ,620    ,300    ,280    ,35     ,175    ,"Y"
"710901         ","ALL ","BZ 710/380/400/35             ",30     ,0      ,710    ,400    ,380    ,35     ,300    ,"Y"
"710901         ","BZ  ","BZ 710/380/400/35             ",30     ,0      ,710    ,400    ,380    ,35     ,300    ,"Y"
"710901         ","GAB ","BZ 710/380/400/35             ",30     ,0      ,710    ,400    ,380    ,35     ,300    ,"Y"
"710901         ","IEC ","BZ 710/380/400/35             ",30     ,0      ,710    ,400    ,380    ,35     ,300    ,"Y"
"710902         ","ALL ","BZ 800/380/414/35             ",50     ,0      ,800    ,414    ,380    ,35     ,350    ,"Y"
"710902         ","BZ  ","BZ 800/380/414/35             ",50     ,0      ,800    ,414    ,380    ,35     ,350    ,"Y"
"710902         ","GAB ","BZ 800/380/414/35             ",50     ,0      ,800    ,414    ,380    ,35     ,350    ,"Y"
"710902         ","IEC ","BZ 800/380/414/35             ",50     ,0      ,800    ,414    ,380    ,35     ,350    ,"Y"
"710903         ","ALL ","BZ 910/500/500/42             ",50     ,0      ,910    ,500    ,500    ,42     ,580    ,"Y"
"710903         ","BZ  ","BZ 910/500/500/42             ",50     ,0      ,910    ,500    ,500    ,42     ,580    ,"Y"
"710903         ","GAB ","BZ 910/500/500/42             ",50     ,0      ,910    ,500    ,500    ,42     ,580    ,"Y"
"710903         ","IEC ","BZ 910/500/500/42             ",50     ,0      ,910    ,500    ,500    ,42     ,580    ,"Y"
"710904         ","ALL ","BZ 1000/500/500/42            ",50     ,0      ,1000   ,500    ,500    ,42     ,850    ,"Y"
"710904         ","BZ  ","BZ 1000/500/500/42            ",50     ,0      ,1000   ,500    ,500    ,42     ,850    ,"Y"
"710904         ","GAB ","BZ 1000/500/500/42            ",50     ,0      ,1000   ,500    ,500    ,42     ,850    ,"Y"
"710904         ","IEC ","BZ 1000/500/500/42            ",50     ,0      ,1000   ,500    ,500    ,42     ,850    ,"Y"
"710905         ","ALL ","BZ 1100/500/550/42            ",50     ,0      ,1100   ,550    ,500    ,42     ,1400   ,"Y"
"710905         ","BZ  ","BZ 1100/500/550/42            ",50     ,0      ,1100   ,550    ,500    ,42     ,1400   ,"Y"
"710905         ","GAB ","BZ 1100/500/550/42            ",50     ,0      ,1100   ,550    ,500    ,42     ,1400   ,"Y"
"710905         ","IEC ","BZ 1100/500/550/42            ",50     ,0      ,1100   ,550    ,500    ,42     ,1400   ,"Y"
"710907         ","ALL ","BZ 1250/500/600/54            ",50     ,0      ,1250   ,600    ,500    ,54     ,1700   ,"Y"
"710907         ","BZ  ","BZ 1250/500/600/54            ",50     ,0      ,1250   ,600    ,500    ,54     ,1700   ,"Y"
