"LT","N29","  MV CU елале╙ цьй                      ",10     ,15     ,2      ,3      ,40000    ,0    ,"10","168300         ",27     ,"    ","    ","    ",3       ,4       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N30","EXTRA HIGH VOLTAGE                      ",65     ,95     ,10     ,14     ,5000     ,0    ,"01","168020         ",27     ,"    ","    ","    ",10      ,14      ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N32","BARE CU                                 ",10     ,13     ,0      ,0      ,10000    ,0    ,"15","100070         ",7      ,"    ","    ","    ",3       ,4       ,120311  ,124540  ,"GALIT     ","PCHI08S1  "
"LT","N33","4*150                                   ",15     ,30     ,10     ,15     ,40000    ,0    ,"15","18110896       ",7      ,"    ","    ","    ",5       ,7       ,120311  ,124540  ,"GALIT     ","PCHI08S1  "
"LT","N35","EPDM                                    ",18     ,20     ,13     ,18     ,4000     ,0    ,"45","2191773-A      ",7      ,"    ","    ","    ",5       ,7       ,121023  ,153942  ,"AMOS      ","PCAMTCP1  "
"LT","N36","BY елале╙ цьй ех╙г                      ",15     ,20     ,3      ,4      ,10000    ,0    ,"10","165530         ",27     ,"    ","    ","    ",5       ,6       ,150430  ,1100    ,"SCHEDULER ","pgm:CA#199"
"LT","N37","LAPP CY                                 ",15     ,20     ,13     ,18     ,10000    ,0    ,"45","2L0035013      ",7      ,"    ","    ","    ",5       ,7       ,121023  ,153944  ,"AMOS      ","PCAMTCP1  "
"LT","US1","US CABLES UNTIL GA                      ",60     ,65     ,5      ,10     ,5000     ,0    ,"  ","               ",0      ,"    ","    ","    ",2       ,3       ,80811   ,180242  ,"AMOS      ","PCAMTCP1  "
"LT","N38","PVC хе╨т                                ",3      ,5      ,0      ,0      ,1        ,0    ,"87","9047285        ",7      ,"    ","    ","    ",0       ,0       ,121023  ,153946  ,"AMOS      ","PCAMTCP1  "
"LT","N39","PVC TR                                  ",7      ,9      ,0      ,0      ,1        ,0    ,"87","904775         ",7      ,"    ","    ","    ",0       ,0       ,121023  ,153949  ,"AMOS      ","PCAMTCP1  "
"LT","N40","PVC 175                                 ",5      ,7      ,0      ,0      ,1        ,0    ,"87","904775R        ",7      ,"    ","    ","    ",0       ,0       ,121023  ,153952  ,"AMOS      ","PCAMTCP1  "
